,name,lat,long
157,Château-Salins,48.81885,6.51455
158,Charroux,46.1444,0.40333
159,Chanu,48.72914,-0.67603
160,Chantraine,48.17157,6.43538
161,Champigny,48.31667,3.13333
162,Champcevinel,45.21582,0.7256400000000001
163,Chambray-lès-Tours,47.33537,0.70286
164,Châlette-sur-Loing,48.01337,2.7358700000000002
165,Chaillac,46.43382,1.29889
166,Chabreloche,45.879,3.69664
167,Chabanais,45.87565,0.7197800000000001
168,Cessy,46.32032,6.07477
169,Cerdon,47.63571,2.3627700000000003
170,Cazilhac,43.92379,3.70145
171,Cavaillon,43.83125,5.03586
172,Caumont-l'Éventé,49.09017,-0.8050100000000001
173,Castelsarrasin,44.04042,1.10666
174,Castelnau-de-Lévis,43.939750000000004,2.08491
175,Castellane,43.84707,6.51283
176,Carros,43.79246,7.18745
177,Carnac,47.58433,-3.07872
178,Cajarc,44.48546,1.84261
179,Bussang,47.88449,6.85272
180,Bullion,48.62285,1.99024
181,Brûlon,47.9686,-0.23484000000000002
182,Briouze,48.69848,-0.36806000000000005
183,Brindas,45.72111,4.69349
184,Brech,47.72075,-2.99708
185,Brassac,43.63,2.4984
186,Brasles,49.0481,3.43
187,Branne,44.83053,-0.18663000000000002
188,Boyard-Ville,45.96717,-1.24289
189,Bourbon-Lancy,46.62214,3.76953
190,Boulogne-sur-Gesse,43.28825,0.64797
191,Boulbon,43.86232,4.69391
192,Bouchemaine,47.42234,-0.6088800000000001
193,Bosdarros,43.20996,-0.36168000000000006
194,Bonnes,46.60451,0.5954
195,Bodilis,48.52986,-4.11658
196,Blanzat,45.82975,3.07794
197,Blanquefort,44.91065,-0.63758
198,Bias,44.41595,0.6693300000000001
199,Beynat,45.12444,1.72323
200,Bétheny,49.28498,4.05495
201,Béthencourt-sur-Mer,50.07756,1.5034800000000001
202,Berrwiller,47.84984,7.21922
203,Bénesse-Maremne,43.63474,-1.36174
204,Belvès,44.77635,1.00721
205,Bazoches-les-Gallerandes,48.1654,2.04319
206,Bazainville,48.80435,1.6673200000000001
207,Bassillac,45.19086,0.81332
208,Ban-de-Laveline,48.24498,7.06593
209,Bâgé-la-Ville,46.31567,4.94086
210,Azay-sur-Cher,47.34966,0.84562
211,Avesnes-sur-Helpe,50.12372,3.9257
212,Avesnes-le-Sec,50.251,3.37768
213,Auzielle,43.54203,1.56589
214,Auvers-Saint-Georges,48.49276,2.22045
215,Audenge,44.68368,-1.01344
216,Arras,50.29301,2.78186
217,Aron,48.29745,-0.55862
218,Armbouts-Cappel,50.976820000000004,2.35352
219,Argentré-du-Plessis,48.05697,-1.14601
220,Argentré,48.08435,-0.6410600000000001
221,Ardres,50.85786,1.98168
222,Aramon,43.89113,4.68058
223,Antran,46.85489,0.5414100000000001
224,Angres,50.40572,2.76054
225,Angers,47.47156,-0.5520200000000001
226,Andres,50.86556,1.92094
227,Andilly,46.2533,-1.02736
228,Ambleteuse,50.80729,1.6038800000000002
229,Aix-en-Othe,48.22391,3.7342500000000003
230,Ailly-sur-Somme,49.92886,2.19615
231,Aigues-Mortes,43.56683,4.19068
232,Agny,50.25914,2.76002
233,Achicourt,50.27429,2.75779
234,Mercurey,46.84035,4.71743
235,Bayard-sur-Marne,48.5541,5.0768
236,Les Grands Carmes,43.30038,5.37275
237,Saint-Joseph,43.34617,5.37976
238,Les Crottes,43.32302,5.3680900000000005
239,La Delorme,43.34405,5.37251
240,Notre-Dame Limite,43.38165,5.36269
241,Peyrat-le-Château,45.81376,1.7726000000000002
242,Yzernay,47.02143,-0.7035300000000001
243,Yvetot,49.61744,0.75814
244,Ydes,45.34722,2.43727
245,Xonrupt-Longemer,48.08223,6.92944
246,Wimereux,50.76963,1.61139
247,Wihr-au-Val,48.05196,7.20493
248,Warhem,50.97592,2.49303
249,Warcq,49.77517,4.68175
250,Vitré,48.12279,-1.20983
251,Virieu,45.48404,5.47586
252,Villiers-Saint-Georges,48.64998,3.40754
253,Villeneuve-lès-Bouloc,43.76904,1.42561
254,Villelongue-de-la-Salanque,42.72657,2.98219
255,Villefranche-sur-Saône,45.98967,4.71961
256,Villefranche-sur-Cher,47.3,1.76667
257,Vihiers,47.1458,-0.5346000000000001
258,Vigneux-sur-Seine,48.70291,2.41357
259,Vigeois,45.37934,1.5173100000000002
260,Verton,50.40234,1.6476600000000001
261,Versonnex,45.92914,5.92586
262,Vérines,46.19387,-0.9668500000000001
263,Verdun-sur-le-Doubs,46.89692,5.02127
264,Veneux-les-Sablons,48.37872,2.7949900000000003
265,Venerque,43.43405,1.44329
266,Vendeville,50.57693,3.0787
267,Velleron,43.95742,5.02936
